RoadName,RouteType,RoadKey
CLARA BARTON PKWY,Government,5755741923731534
MANNAKEE ST,Municipality,8967796628962237
ELKIN ST,County,2407236375210454
PINNACLE DR,County,2631439280250214
LINDEN LA,County,2648584259858213
BLUNT RD,County,2726431851906177
METRO ACCESS RD,Maryland (State),9600063629515310
GLEN MILL RD,County,660840698475769
OAKMONT AVE,County,574351171669335
PERRY PKWY,Municipality,3951250346200531
DUNDEE RD,Municipality,1007206234403021
BETHESDA AVE,County,510691405782220
N STONESTREET AVE,Municipality,9077059736418609
WHETSTONE DR,County,2285135908268081
MEDICAL CENTER WAY,County,586407392796294
TENBROOK DR,County,5996629619687776
SYCAMORE LA,County,2911191787530164
WOODFIELD RD EXT,Other Public Roadway,3045143745568839
DOXDAM TERR,County,4516505233732730
WILD OLIVE DR,County,975262708696586
MCKNEW RD,County,6918399743072657
MT PISGAH RD,County,20289236847078
KIMBERLY ST,County,1113048687282382
LOYOLA ST,County,7739757322938245
NORA DR,County,9279294541030412
RAMP 5 FR RAMP 8 TO FATHER HURLEY BLVD,Ramp,6168468004303264
BURNT HILL RD,County,8158084752464303
GUNNERS BRANCH RD,County,5890474799012741
POMANDER LA,County,3083764733577349
MEDICAL CENTER DR,County,7334938358929457
WINDHAM LA,County,2856714500567665
POTOMAC VALLEY RD,Municipality,7087617363382677
WOODHAVEN BLVD,County,7231195994266947
EDGEMOOR LA,County,5001143449386931
STRINGTOWN RD,County,7381127738401445
PRINCE PHILIP DR,County,3764172096479570
HAYWORTH DRIVE,UNKNOWN,1757459966836246
MASSACHUSETTS AVE,Maryland (State),7737340436593800
OVERLOOK DR,County,6386169147853509
MAPLE AVE,Municipality,5812528152928271
DORSEY RD,County,9182127170893590
FOGGY GLEN DR,County,3136531963298569
BIRCHTREE LA,County,4892483538825011
DUFIEF MILL RD,County,6051591371455360
BONNIBELLE PL,Municipality,9596150034444544
WILLARD AVE,County,8655009953594281
DEXTER AVE,County,8363224351877962
URBANA DR,County,1285600340790087
W WATKINS MILL RD,UNKNOWN,2014618833943382
AMITY DR,County,9976370034234198
PLEASANT DR,Municipality,5629813392862460
GLENVILLE RD,County,1461402802484948
OAKLYN DR,County,5960219814658006
HUNTOVER DR,County,9313080410401791
TURKEY BRANCH PKWY,County,9425066222700658
SOUTHAMPTON DR,County,9820119590072234
NORTH GATE DR,County,8540149138149295
AMHERST AVE,County,2480366219871158
