RoadName,RouteType,RoadKey
WEST SIDE DR,Municipality,6841368357386691
QUEEN ELIZABETH DR,County,3161218654498235
BOU AVE,County,8089514936690402
SUGARLAND RD,County,2852386875711773
DALEWOOD DR,County,3927996319673029
STONERIDGE DR,County,2387876641605010
GREENWOOD AVE,County,1595385451090210
SOUTHLAWN CT,Municipality,9589796920021790
HOLTON LA,Municipality,1461872631554201
LADY MEADE DR,UNKNOWN,156673191044711
SUFFIELD DR,Municipality,173855322615158
SCHUYLKILL RD,County,3891758246357210
GRIDLEY RD,County,2745381308312522
ALEUTIAN AVE,Municipality,3062743232111967
BERRYVILLE RD,County,2482438212189246
PARKLAND DR,County,4005500860300433
ENT TO FEDERAL PLAZA SC,UNKNOWN,4730880974629566
TUNE AVE,County,1329560420988008
ROSEWOOD MANOR LA,County,2382223651461827
AUGUST DR,County,6401264941193085
MATENY RD,County,1390149187382918
DUNLOP ST,County,1991419697605557
MONTERREY DR,County,7134483987072933
BULLARD CIRCLE,Municipality,5555868831856350
GREENTREE RD,County,4574047290405965
DRY RIDGE RD,County,2866588022489579
DEERHURST LA,UNKNOWN,2121392528492147
SAUL RD,County,9915560399279361
NORTHAMPTON DR,County,4460803811679484
MONTROSE RD,Other Public Roadway,8610061381291275
WIGHTMAN RD,County,8007951897874167
LOCUST HILL RD,County,2473091572890000
LOCUST DR,County,7636648275850712
CALIFORNIA CIR,UNKNOWN,6661643377595716
BUTLER RD,Other Public Roadway,9643233145601868
LITTLE BENNETT DR,County,7915877915256119
WINDSOR FOREST RD,County,8311500696128384
RAINBOW DR,County,2888535078283138
TEAGARDEN CIR,UNKNOWN,2931484812973605
AVERY RD,Municipality,459515073783371
KNOWLES AVE,Maryland (State),915669685319325
BROWN CHURCH RD,County,1996318624015280
BRIARDALE RD,County,8676565496050888
NO NAME,Other Public Roadway,1852279896319342
ENT TO WHITE OAK SHOPPING CENTER,UNKNOWN,6044070515538533
MONTROSE PKWY,Maryland (State),1240167934326490
GREAT FALLS RD,Municipality,6743601939742114
APPLE RIDGE RD,County,8201944609283456
REEDIE DR,County,5670396305534368
NORFOLK AVE,County,1753436384863877
RIDING LOOP DR,County,6119667157978748
BRYANTS NURSERY RD,County,1390888817021886
